date,topic,sum_probability
2017-04-27,5,0.12529359143378832
2017-04-27,6,0.1884972599979882
2017-04-27,7,0.05096363686446658
2017-04-27,8,0.011044852762921026
2017-04-27,9,0.3306776404715255
2017-04-27,10,0.0517484004651332
2017-04-28,1,0.2139774253408086
2017-04-28,2,0.02397650885943851
2017-04-28,3,0.0595420089892778
2017-04-28,4,0.07458954984770425
2017-04-28,5,0.14157304031866694
2017-04-28,6,0.029241428819263428
2017-04-28,7,0.05632179790574567
2017-04-28,8,0.042489726911145706
2017-04-28,9,0.20306826388482868
2017-04-28,10,0.1552202491231204
2017-04-29,1,0.06616774277944214
2017-04-29,2,0.1275914160244166
2017-04-29,3,0.0015129625873377137
2017-04-29,4,0.014001449175728426
2017-04-29,5,0.0047341986865678245
2017-04-29,6,0.20755363899906978
2017-04-29,7,0.09026368915617805
2017-04-29,8,0.014314856792506828
2017-04-29,9,0.34856937545629685
2017-04-29,10,0.1252906703424558
2017-05-01,1,0.027233910783133582
2017-05-01,2,0.004183894209800945
2017-05-01,3,2.97883847106645e-4
2017-05-01,4,0.25113963468885747
2017-05-01,5,0.044339334624308724
2017-05-01,6,0.2341039933008845
2017-05-01,7,2.97883847106645e-4
2017-05-01,8,0.10274724795450185
2017-05-01,9,2.97883847106645e-4
2017-05-01,10,0.33535833289719297
2017-05-02,1,0.0477983935961171
2017-05-02,2,0.019321398495015078
2017-05-02,3,0.01779468093776317
2017-05-02,4,0.03314607046806661
2017-05-02,5,0.016776869232928565
2017-05-02,6,0.2774525730533446
2017-05-02,7,0.10278195829145273
2017-05-02,8,0.19972852317694895
2017-05-02,9,0.1610435286553838
2017-05-02,10,0.12415600409297946
2017-05-03,1,0.05126759607074766
2017-05-03,2,0.02210513008178234
2017-05-03,3,0.06593359332531644
2017-05-03,4,0.023581826172480287
2017-05-03,5,0.14805426439939867
2017-05-03,6,0.38433093885532466
2017-05-03,7,0.08230264989230535
2017-05-03,8,0.04291515950581362
2017-05-03,9,0.05717656760921008
2017-05-03,10,0.12233227408762087
2017-05-04,1,0.10792893110233727
2017-05-04,2,0.12188961989958455
2017-05-04,3,0.021398239197546843
2017-05-04,4,0.3176183162049916
2017-05-04,5,3.418553672486643e-4
2017-05-04,6,0.31763527196253416
2017-05-04,7,0.021856279865945447
2017-05-04,8,0.0030840857145978413
2017-05-04,9,0.0031570728341090365
